code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,sum_click,final_result
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,Y,0,60,1864,Withdrawn
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,N,0,150,270,Pass
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,N,0,420,1529,Pass
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,0,60,4003,Pass
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,N,0,60,908,Withdrawn
AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,N,0,60,1405,Pass
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,N,0,60,1185,Withdrawn
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,N,0,60,466,Pass
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,N,0,60,1510,Pass
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,N,0,60,745,Pass
AAA,2013J,172112,M,Ireland,HE Qualification,,35-55,N,0,60,1939,Pass
AAA,2013J,172797,F,Ireland,A Level or Equivalent,,35-55,N,0,60,1782,Pass
AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,N,0,60,6318,Pass
AAA,2013J,175392,M,North Region,HE Qualification,,35-55,N,0,60,4447,Pass
AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,N,0,60,2016,Pass
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,N,0,180,138,Fail
AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,N,0,120,2012,Pass
AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,N,0,120,487,Withdrawn
AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,N,0,60,1975,Pass
AAA,2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,N,0,180,964,Pass
AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,N,0,170,1312,Pass
AAA,2013J,185439,M,London Region,HE Qualification,10-20,0-35,N,0,120,427,Fail
AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,N,0,60,2136,Pass
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,N,0,60,8562,Distinction
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,N,0,120,1434,Withdrawn
AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,N,0,120,1541,Pass
AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,N,0,60,3219,Pass
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,N,0,60,1905,Withdrawn
AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,N,0,60,534,Pass
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,N,0,60,1418,Withdrawn
AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,N,0,60,1665,Pass
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,Y,0,90,333,Fail
AAA,2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,N,0,60,2953,Distinction
AAA,2013J,227517,M,Ireland,HE Qualification,,0-35,N,0,180,1205,Fail
AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,N,0,60,227,Pass
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,N,0,60,445,Pass
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,N,0,60,614,Pass
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,N,0,60,1215,Pass
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,N,0,240,1839,Pass
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,N,0,240,190,Withdrawn
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,N,0,60,732,Pass
AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,N,0,60,1935,Pass
AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,N,0,80,321,Pass
AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,N,0,120,427,Pass
AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,N,0,60,1892,Pass
AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,N,0,60,1829,Fail
AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,N,0,60,658,Pass
AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,N,0,60,1174,Pass
AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,N,0,90,1969,Pass
AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,N,0,60,2580,Pass
AAA,2013J,256815,M,North Western Region,HE Qualification,10-20,0-35,N,0,120,1481,Pass
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,N,0,60,844,Pass
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,N,0,60,4963,Pass
AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,N,0,60,426,Withdrawn
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,0,60,1066,Pass
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,N,0,60,2407,Pass
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,N,0,90,3210,Fail
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,N,0,180,188,Withdrawn
AAA,2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,N,0,60,3348,Pass
AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,N,0,60,2016,Withdrawn
AAA,2013J,279572,M,London Region,Lower Than A Level,40-50%,0-35,N,0,60,1183,Distinction
AAA,2013J,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,N,0,150,492,Pass
AAA,2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,N,0,60,130,Fail
AAA,2013J,281589,M,North Western Region,HE Qualification,30-40%,0-35,N,0,60,59,Fail
AAA,2013J,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,N,0,60,1961,Pass
AAA,2013J,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,N,0,60,1046,Pass
AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,N,0,120,483,Pass
AAA,2013J,290201,M,Wales,A Level or Equivalent,20-30%,0-35,N,0,60,1740,Pass
AAA,2013J,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,N,0,60,652,Pass
AAA,2013J,291334,M,South East Region,A Level or Equivalent,90-100%,35-55,N,0,60,5231,Distinction
AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,N,0,120,187,Pass
AAA,2013J,294570,M,South East Region,HE Qualification,90-100%,55<=,N,0,60,1775,Pass
AAA,2013J,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,N,0,60,865,Pass
AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,N,0,240,709,Fail
AAA,2013J,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,N,0,60,2152,Distinction
AAA,2013J,298696,F,South East Region,HE Qualification,80-90%,0-35,N,0,60,514,Pass
AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,N,0,60,1997,Pass
AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,N,0,60,513,Fail
AAA,2013J,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,N,0,60,146,Fail
AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,Y,0,120,1277,Pass
AAA,2013J,305539,F,Wales,Lower Than A Level,80-90%,0-35,N,0,120,68,Withdrawn
AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,N,0,120,987,Pass
AAA,2013J,306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,N,0,60,1220,Pass
AAA,2013J,306897,F,London Region,A Level or Equivalent,10-20,0-35,N,0,60,2742,Pass
AAA,2013J,307061,F,East Midlands Region,HE Qualification,10-20,0-35,N,0,60,1081,Pass
AAA,2013J,307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,N,0,60,1476,Pass
AAA,2013J,311917,M,South West Region,A Level or Equivalent,60-70%,55<=,N,0,120,2230,Pass
AAA,2013J,312537,M,South Region,Post Graduate Qualification,90-100%,55<=,N,0,60,12882,Distinction
AAA,2013J,312782,M,South Region,A Level or Equivalent,90-100%,0-35,N,0,60,281,Pass
AAA,2013J,318933,F,East Anglian Region,HE Qualification,80-90%,0-35,N,0,120,1281,Pass
AAA,2013J,319047,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,N,0,60,6589,Pass
AAA,2013J,321942,M,South Region,HE Qualification,90-100%,55<=,N,0,60,10083,Pass
AAA,2013J,324002,M,East Anglian Region,HE Qualification,40-50%,35-55,N,0,60,1901,Pass
AAA,2013J,324084,F,South West Region,A Level or Equivalent,10-20,35-55,N,0,60,1961,Pass
AAA,2013J,324282,M,South East Region,A Level or Equivalent,90-100%,0-35,N,0,120,133,Pass
AAA,2013J,331358,F,South Region,HE Qualification,90-100%,35-55,N,0,60,2376,Withdrawn
AAA,2013J,332789,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,N,0,60,1655,Pass
AAA,2013J,333059,M,Scotland,A Level or Equivalent,20-30%,0-35,N,0,120,301,Pass
AAA,2013J,333323,M,Scotland,HE Qualification,80-90%,0-35,N,0,60,648,Pass
AAA,2013J,334259,F,London Region,A Level or Equivalent,50-60%,0-35,N,0,150,332,Fail
AAA,2013J,334333,F,South West Region,A Level or Equivalent,0-10%,0-35,Y,0,240,303,Withdrawn
AAA,2013J,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,N,0,60,2286,Withdrawn
AAA,2013J,336207,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,N,0,120,1316,Pass
AAA,2013J,339972,M,North Region,A Level or Equivalent,80-90%,0-35,N,0,60,333,Pass
AAA,2013J,341872,M,East Anglian Region,Lower Than A Level,40-50%,0-35,N,0,180,201,Fail
AAA,2013J,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,N,0,60,880,Withdrawn
AAA,2013J,342514,M,Scotland,Lower Than A Level,50-60%,55<=,N,0,60,1950,Pass
AAA,2013J,342972,M,Yorkshire Region,HE Qualification,0-10%,0-35,N,0,60,838,Pass
AAA,2013J,343446,M,Ireland,HE Qualification,70-80%,35-55,N,0,120,3644,Pass
AAA,2013J,344282,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,N,0,60,65,Fail
AAA,2013J,345068,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,Y,0,180,547,Pass
AAA,2013J,345357,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,N,0,60,2219,Distinction
AAA,2013J,346025,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,N,0,120,569,Pass
AAA,2013J,346843,F,Scotland,HE Qualification,50-60%,35-55,N,0,120,164,Fail
AAA,2013J,350188,M,North Western Region,HE Qualification,80-90%,35-55,N,0,60,761,Pass
AAA,2013J,354858,M,South Region,HE Qualification,90-100%,35-55,N,0,120,198,Withdrawn
AAA,2013J,357668,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,N,0,60,166,Fail
AAA,2013J,364177,M,East Anglian Region,Lower Than A Level,70-80%,35-55,N,0,60,821,Fail
AAA,2013J,365244,F,London Region,A Level or Equivalent,0-10%,0-35,N,0,120,891,Pass
AAA,2013J,365642,M,East Anglian Region,Lower Than A Level,10-20,35-55,N,0,60,2129,Pass
AAA,2013J,366483,M,South West Region,HE Qualification,40-50%,0-35,N,0,60,1465,Pass
AAA,2013J,368194,F,South West Region,A Level or Equivalent,50-60%,0-35,Y,0,120,437,Pass
AAA,2013J,368824,M,Wales,HE Qualification,50-60%,35-55,N,0,120,292,Fail
AAA,2013J,368963,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,N,0,180,677,Pass
AAA,2013J,376439,M,North Region,HE Qualification,,0-35,N,0,60,2342,Distinction
AAA,2013J,376581,F,South Region,A Level or Equivalent,80-90%,35-55,N,0,60,2333,Pass
AAA,2013J,380953,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,N,0,60,1062,Pass
AAA,2013J,383254,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,N,0,120,543,Pass
AAA,2013J,386924,M,Ireland,Lower Than A Level,,0-35,N,0,120,164,Pass
AAA,2013J,386952,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,N,0,120,910,Pass
AAA,2013J,388722,F,London Region,Lower Than A Level,80-90%,35-55,N,0,60,671,Pass
AAA,2013J,388885,M,South West Region,A Level or Equivalent,90-100%,35-55,N,0,60,875,Pass
AAA,2013J,390890,M,Scotland,A Level or Equivalent,0-10%,0-35,N,0,90,639,Withdrawn
AAA,2013J,392756,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,N,0,120,363,Fail
AAA,2013J,392931,F,North Western Region,A Level or Equivalent,50-60%,35-55,N,0,120,3003,Pass
AAA,2013J,393207,M,North Western Region,A Level or Equivalent,60-70%,0-35,N,0,60,876,Pass
AAA,2013J,396872,M,Yorkshire Region,HE Qualification,50-60%,0-35,N,0,180,996,Pass
AAA,2013J,398552,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,N,0,240,1183,Fail
AAA,2013J,401869,F,South East Region,Lower Than A Level,80-90%,0-35,N,0,60,955,Pass
AAA,2013J,402470,M,South West Region,Lower Than A Level,50-60%,35-55,N,0,60,1445,Pass
AAA,2013J,404804,M,Wales,Lower Than A Level,20-30%,35-55,N,0,120,509,Pass
AAA,2013J,405088,M,North Region,A Level or Equivalent,20-30%,0-35,N,0,120,1388,Pass
AAA,2013J,414117,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,N,0,120,807,Pass
AAA,2013J,415969,M,West Midlands Region,HE Qualification,0-10%,35-55,N,0,90,1359,Withdrawn
AAA,2013J,420087,M,Scotland,A Level or Equivalent,40-50%,0-35,Y,0,60,342,Fail
AAA,2013J,429958,F,North Western Region,A Level or Equivalent,70-80%,0-35,N,0,60,411,Pass
AAA,2013J,441018,F,South East Region,A Level or Equivalent,70-80%,0-35,N,0,150,646,Pass
AAA,2013J,441888,M,London Region,A Level or Equivalent,20-30%,0-35,N,0,120,739,Pass
AAA,2013J,442442,M,South West Region,HE Qualification,80-90%,0-35,N,0,120,1009,Withdrawn
AAA,2013J,444677,M,London Region,HE Qualification,30-40%,0-35,N,0,60,1241,Distinction
AAA,2013J,470588,M,South East Region,HE Qualification,90-100%,35-55,N,0,60,400,Withdrawn
AAA,2013J,489455,F,South West Region,A Level or Equivalent,20-30%,0-35,N,0,60,2832,Pass
AAA,2013J,494424,F,North Region,A Level or Equivalent,80-90%,0-35,N,0,60,58,Fail
AAA,2013J,495284,M,South East Region,HE Qualification,80-90%,0-35,N,0,120,901,Pass
AAA,2013J,498857,M,North Western Region,HE Qualification,80-90%,35-55,N,0,60,998,Pass
AAA,2013J,508818,M,London Region,A Level or Equivalent,40-50%,0-35,N,0,120,1129,Pass
AAA,2013J,512460,M,South East Region,HE Qualification,90-100%,0-35,N,0,120,521,Pass
AAA,2013J,544103,M,North Western Region,HE Qualification,40-50%,0-35,N,0,120,2328,Pass
AAA,2013J,550383,M,South East Region,HE Qualification,60-70%,0-35,N,0,60,910,Pass
AAA,2013J,564450,M,West Midlands Region,HE Qualification,80-90%,0-35,N,0,120,224,Fail
AAA,2013J,568601,F,Scotland,HE Qualification,30-40%,0-35,N,0,60,488,Withdrawn
AAA,2013J,572652,M,West Midlands Region,HE Qualification,70-80%,0-35,N,0,120,780,Pass
AAA,2013J,580389,M,Ireland,HE Qualification,90-100%,0-35,N,0,120,1271,Pass
AAA,2013J,581129,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,N,0,120,194,Fail
AAA,2013J,588775,M,South West Region,A Level or Equivalent,90-100%,0-35,N,0,120,7067,Pass
AAA,2013J,591774,M,South Region,Post Graduate Qualification,90-100%,35-55,N,0,60,605,Pass
AAA,2013J,603861,M,North Region,HE Qualification,,55<=,N,0,60,955,Withdrawn
AAA,2013J,606143,M,Scotland,Post Graduate Qualification,90-100%,35-55,N,0,60,406,Fail
AAA,2013J,704156,M,South Region,HE Qualification,90-100%,55<=,N,0,120,3064,Pass
AAA,2013J,705379,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,N,0,120,5680,Distinction
AAA,2013J,721259,F,South Region,Lower Than A Level,50-60%,55<=,N,0,120,1228,Withdrawn
AAA,2013J,749412,M,South Region,Lower Than A Level,70-80%,55<=,N,0,60,4007,Pass
AAA,2013J,760729,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,N,0,60,7288,Distinction
AAA,2013J,905042,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,N,0,60,3004,Pass
AAA,2013J,949618,F,South West Region,A Level or Equivalent,50-60%,35-55,N,0,60,1357,Pass
AAA,2013J,958987,M,North Western Region,HE Qualification,40-50%,35-55,N,0,60,1216,Pass
AAA,2013J,968578,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,N,0,60,870,Pass
AAA,2013J,969076,M,South West Region,A Level or Equivalent,80-90%,35-55,N,0,180,1980,Withdrawn
AAA,2013J,971027,F,West Midlands Region,HE Qualification,90-100%,35-55,N,0,60,3098,Pass
AAA,2013J,978739,M,South Region,HE Qualification,90-100%,35-55,N,0,60,5988,Pass
AAA,2013J,1035023,F,London Region,Lower Than A Level,30-40%,35-55,N,0,60,1896,Pass
AAA,2013J,1105478,M,Scotland,HE Qualification,80-90%,55<=,N,0,60,1695,Pass
AAA,2013J,1352868,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,N,0,60,641,Withdrawn
AAA,2013J,1401935,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,N,0,60,240,Fail
AAA,2013J,1402638,F,East Midlands Region,HE Qualification,30-40%,35-55,N,0,60,910,Pass
AAA,2013J,1414443,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,N,0,120,1907,Fail
AAA,2013J,1456619,M,South West Region,A Level or Equivalent,90-100%,35-55,N,0,60,467,Withdrawn
AAA,2013J,1465690,M,West Midlands Region,HE Qualification,40-50%,35-55,N,0,120,3460,Pass
AAA,2013J,1472925,F,East Anglian Region,Lower Than A Level,40-50%,35-55,Y,0,60,939,Fail
AAA,2013J,1488959,M,London Region,A Level or Equivalent,70-80%,35-55,N,0,60,3493,Pass
AAA,2013J,1518989,F,South East Region,Lower Than A Level,80-90%,35-55,N,0,60,4202,Pass
AAA,2013J,1618738,M,London Region,Lower Than A Level,90-100%,35-55,N,0,60,723,Pass
AAA,2013J,1620151,M,South Region,HE Qualification,90-100%,35-55,N,0,60,998,Fail
AAA,2013J,1626710,M,North Western Region,A Level or Equivalent,60-70%,35-55,N,0,60,6025,Distinction
AAA,2013J,1640609,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,N,0,60,5061,Pass
AAA,2013J,1686521,F,North Western Region,Lower Than A Level,50-60%,35-55,N,0,60,643,Withdrawn
AAA,2013J,1729319,F,Scotland,HE Qualification,40-50%,35-55,N,0,60,2756,Pass
AAA,2013J,1746134,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,N,0,60,1759,Pass
AAA,2013J,1758449,M,South Region,Lower Than A Level,30-40%,35-55,N,0,75,2756,Withdrawn
AAA,2013J,1763015,F,Scotland,A Level or Equivalent,10-20,35-55,N,0,60,420,Withdrawn
AAA,2013J,1765788,M,South East Region,HE Qualification,70-80%,55<=,N,0,60,7057,Pass
AAA,2013J,1801229,M,Ireland,HE Qualification,,35-55,N,0,60,1443,Pass
AAA,2013J,1801641,M,Scotland,A Level or Equivalent,30-40%,35-55,N,0,60,459,Pass
AAA,2013J,1847830,M,South West Region,Lower Than A Level,40-50%,35-55,N,0,60,6518,Pass
AAA,2013J,1860318,M,South West Region,Lower Than A Level,40-50%,35-55,Y,0,300,5975,Pass
AAA,2013J,1889511,M,Yorkshire Region,A Level or Equivalent,50-60%,35-55,N,0,60,1754,Pass
AAA,2013J,1889577,F,South Region,A Level or Equivalent,70-80%,35-55,Y,0,60,931,Pass
AAA,2013J,1894188,F,East Midlands Region,A Level or Equivalent,80-90%,0-35,N,0,60,4294,Pass
AAA,2013J,1938355,M,South Region,A Level or Equivalent,90-100%,35-55,N,0,60,1992,Pass
AAA,2013J,1942396,F,East Anglian Region,Lower Than A Level,40-50%,35-55,Y,0,120,470,Pass
AAA,2013J,1970390,M,West Midlands Region,Lower Than A Level,0-10%,35-55,N,0,60,11139,Withdrawn
AAA,2013J,1976139,M,Ireland,Lower Than A Level,50-60%,35-55,N,0,120,1216,Pass
AAA,2013J,2011876,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,Y,0,60,1401,Pass
AAA,2013J,2012966,M,North Western Region,Lower Than A Level,30-40%,35-55,N,0,60,519,Pass
AAA,2013J,2051699,F,South West Region,Lower Than A Level,70-80%,35-55,N,0,60,1734,Pass
AAA,2013J,2062879,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,N,0,60,2386,Fail
AAA,2013J,2065691,M,London Region,A Level or Equivalent,30-40%,35-55,Y,0,330,1430,Withdrawn
AAA,2013J,2073016,F,London Region,Lower Than A Level,30-40%,35-55,N,0,60,849,Withdrawn
AAA,2013J,2080474,F,South Region,A Level or Equivalent,90-100%,35-55,N,0,60,1146,Pass
AAA,2013J,2083877,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,N,0,120,685,Pass
AAA,2013J,2084066,F,South West Region,Lower Than A Level,50-60%,35-55,N,0,60,1967,Fail
AAA,2013J,2104505,M,West Midlands Region,Lower Than A Level,0-10%,35-55,N,0,60,701,Pass
