id_student,code_module,code_presentation,weighted_score
290201,AAA,2013J,69.8
290757,AAA,2013J,74.5
291334,AAA,2013J,82.9
294570,AAA,2013J,78.7
294594,AAA,2013J,51.0
295741,AAA,2013J,51.9
295741,FFF,2014B,80.6355140186916
296332,AAA,2013J,84.3
298696,AAA,2013J,81.8
300398,AAA,2013J,78.3
302302,AAA,2013J,58.8
305152,AAA,2013J,64.0
305386,AAA,2013J,78.1
306107,AAA,2013J,54.9
306466,AAA,2013J,82.6
306897,AAA,2013J,60.9
307061,AAA,2013J,81.3
307866,AAA,2013J,61.857142857142854
311917,AAA,2013J,60.4
312537,AAA,2013J,87.8
312782,AAA,2013J,58.5
318933,AAA,2013J,66.6
319047,AAA,2013J,78.6
321942,AAA,2013J,80.2
324002,AAA,2013J,80.2
324084,AAA,2013J,57.5
324282,AAA,2013J,64.6
331358,AAA,2013J,84.0
331358,AAA,2014J,85.0
332789,AAA,2013J,75.1
333059,AAA,2013J,62.6
333323,AAA,2013J,74.2
334259,AAA,2013J,51.666666666666664
334333,AAA,2013J,36.0
335764,AAA,2013J,86.4
335764,AAA,2014J,87.6
336207,AAA,2013J,67.4
339972,AAA,2013J,47.8
341872,AAA,2013J,63.8
342007,AAA,2013J,75.0
342007,AAA,2014J,83.9
342514,AAA,2013J,78.4
342972,AAA,2013J,61.5
343446,AAA,2013J,79.6
344282,AAA,2013J,47.4
345068,AAA,2013J,79.5
345357,AAA,2013J,82.0
346025,AAA,2013J,82.4
350188,AAA,2013J,73.4
357668,AAA,2013J,58.6
364177,AAA,2013J,69.71428571428571
365244,AAA,2013J,55.6
365642,AAA,2013J,70.4
366483,AAA,2013J,77.0
368194,AAA,2013J,49.1
368824,AAA,2013J,53.7
368963,AAA,2013J,67.4
376439,AAA,2013J,87.3
376581,AAA,2013J,73.0
380953,AAA,2013J,67.0
383254,AAA,2013J,76.3
386924,AAA,2013J,68.9
386952,AAA,2013J,68.8
388722,AAA,2013J,63.7
388885,AAA,2013J,61.9
390890,AAA,2013J,68.6
390890,AAA,2014J,68.2
392756,AAA,2013J,43.5
392931,AAA,2013J,69.1
393207,AAA,2013J,74.8
396872,AAA,2013J,61.1
398552,AAA,2013J,45.0
401869,AAA,2013J,67.0
402470,AAA,2013J,70.7
404804,AAA,2013J,41.6
405088,AAA,2013J,77.3
414117,AAA,2013J,76.0
415969,AAA,2013J,58.2
415969,AAA,2014J,58.2
420087,AAA,2013J,75.2
429958,AAA,2013J,58.3
441018,AAA,2013J,61.0
441888,AAA,2013J,70.0
442442,AAA,2013J,41.0
444677,AAA,2013J,86.9
470588,AAA,2013J,86.0
470588,AAA,2014J,72.66666666666667
489455,AAA,2013J,70.0
495284,AAA,2013J,65.0
498857,AAA,2013J,72.6
508818,AAA,2013J,69.9
512460,AAA,2013J,73.2
544103,AAA,2013J,81.0
550383,AAA,2013J,73.0
564450,AAA,2013J,58.0
568601,AAA,2013J,80.33333333333333
572652,AAA,2013J,73.7
580389,AAA,2013J,70.6
588775,AAA,2013J,82.4
591774,AAA,2013J,73.4
603861,AAA,2013J,64.0
603861,AAA,2014J,64.0
606143,AAA,2013J,62.0
704156,AAA,2013J,66.3
705379,AAA,2013J,80.7
721259,AAA,2013J,0.0
721259,AAA,2014J,65.0
749412,AAA,2013J,70.2
760729,AAA,2013J,81.5
905042,AAA,2013J,78.0
949618,AAA,2013J,60.3
958987,AAA,2013J,77.2
968578,AAA,2013J,73.4
969076,AAA,2013J,56.57142857142857
971027,AAA,2013J,67.2
978739,AAA,2013J,56.5
1035023,AAA,2013J,69.9
1105478,AAA,2013J,81.2
1352868,AAA,2013J,65.33333333333333
1352868,AAA,2014J,67.2
1401935,AAA,2013J,31.666666666666668
1402638,AAA,2013J,75.0
1414443,AAA,2013J,59.333333333333336
1465690,AAA,2013J,80.9
1472925,AAA,2013J,62.2
1472925,AAA,2014J,63.0
1488959,AAA,2013J,60.2
1518989,AAA,2013J,72.2
1618738,AAA,2013J,77.9
1620151,AAA,2013J,75.0
1626710,AAA,2013J,84.9
1640609,AAA,2013J,85.3
1686521,AAA,2013J,68.0
1729319,AAA,2013J,77.5
1746134,AAA,2013J,84.0
1758449,AAA,2013J,59.666666666666664
1765788,AAA,2013J,67.5
1801229,AAA,2013J,76.7
1801641,AAA,2013J,77.8
1847830,AAA,2013J,69.1
1860318,AAA,2013J,62.8
1889511,AAA,2013J,71.2
1889577,AAA,2013J,73.2
1894188,AAA,2013J,69.7
1938355,AAA,2013J,71.2
1942396,AAA,2013J,54.9
1970390,AAA,2013J,83.8
1970390,AAA,2014J,83.8
1976139,AAA,2013J,62.875
2011876,AAA,2013J,75.6
2012966,AAA,2013J,79.1
2051699,AAA,2013J,67.3
2062879,AAA,2013J,62.1
2065691,AAA,2013J,36.8
2073016,AAA,2013J,60.4
2073016,AAA,2014J,56.5
2080474,AAA,2013J,67.2
2083877,AAA,2013J,68.1
2084066,AAA,2013J,59.0
2104505,AAA,2013J,64.1
2122180,AAA,2013J,82.3
2139353,AAA,2013J,66.2
2139353,AAA,2014J,66.9
2143752,AAA,2013J,52.9
2146792,AAA,2013J,70.0
2153153,AAA,2013J,61.8
2155014,AAA,2013J,73.9
2164705,AAA,2013J,70.0
2171627,AAA,2013J,68.4
2182846,AAA,2013J,66.3
2194100,AAA,2013J,67.3
2197016,AAA,2013J,75.7
2208424,AAA,2013J,69.9
2229865,AAA,2013J,77.1
2255601,AAA,2013J,49.0
2268379,AAA,2013J,83.6
2278464,AAA,2013J,48.9
2293923,AAA,2013J,60.5
2312620,AAA,2013J,36.2
2329342,AAA,2013J,58.8
2339528,AAA,2013J,80.5
2342426,AAA,2013J,74.2
2344901,AAA,2013J,49.285714285714285
2358056,AAA,2013J,69.8
2358969,AAA,2013J,68.0
2358969,AAA,2014J,70.3
2364471,AAA,2013J,81.6
2367155,AAA,2013J,75.7
2369266,AAA,2013J,51.2
2376496,AAA,2013J,75.5
2391984,AAA,2013J,72.71428571428571
2411661,AAA,2013J,45.3
2411778,AAA,2013J,81.0
2412002,AAA,2013J,83.1
2412967,AAA,2013J,77.5
2429854,AAA,2013J,51.0
2437837,AAA,2013J,74.9
2449878,AAA,2013J,60.5
2456480,AAA,2013J,21.6
2457256,AAA,2013J,70.5
2458355,AAA,2013J,91.0
2460080,AAA,2013J,77.1
2461190,AAA,2013J,54.0
2479954,AAA,2013J,79.7
2481901,AAA,2013J,74.8
2482700,AAA,2013J,55.8
2486127,AAA,2013J,74.4
2498700,AAA,2013J,77.9
2516503,AAA,2013J,79.2
2518069,AAA,2013J,76.7
2521459,AAA,2013J,61.5
2523736,AAA,2013J,62.285714285714285
2529279,AAA,2013J,78.8
2532302,AAA,2013J,60.3
2536991,AAA,2013J,83.4
2550279,AAA,2013J,62.8
2551220,AAA,2013J,63.4
2552472,AAA,2013J,50.666666666666664
2555340,AAA,2013J,79.2
2557283,AAA,2013J,81.6
2559575,AAA,2013J,73.1
2562034,AAA,2013J,65.4
2566163,AAA,2013J,70.9
2566592,AAA,2013J,71.8
2574528,AAA,2013J,77.3
2574583,AAA,2013J,71.9
2576122,AAA,2013J,64.0
2576122,AAA,2014J,64.0
2578995,AAA,2013J,80.1
2586560,AAA,2013J,72.8
2594139,AAA,2013J,73.5
2598871,AAA,2013J,74.0
2599352,AAA,2013J,75.7
2600688,AAA,2013J,70.1
2606098,AAA,2013J,72.2
2613116,AAA,2013J,79.8
2617002,AAA,2013J,65.2
2639449,AAA,2013J,52.625
2639540,AAA,2013J,79.9
2639641,AAA,2013J,66.5
2641155,AAA,2013J,79.2
2643002,AAA,2013J,48.8
2645733,AAA,2013J,81.2
2649826,AAA,2013J,84.7
2650282,AAA,2013J,84.3
2664024,AAA,2013J,66.2
2666246,AAA,2013J,76.2
2669816,AAA,2013J,54.0
2671132,AAA,2013J,69.8
2676809,AAA,2013J,42.8
2678643,AAA,2013J,69.7
2685865,AAA,2013J,78.9
2688067,AAA,2013J,68.4
2689958,AAA,2013J,81.2
2691206,AAA,2013J,84.7
2694424,AAA,2013J,76.5
2698257,AAA,2013J,69.4
2469673,AAA,2013J,44.55555555555556
2470694,AAA,2013J,67.0
2470694,AAA,2014J,67.0
2691244,AAA,2013J,58.666666666666664
293699,AAA,2013J,46.111111111111114
581129,AAA,2013J,40.0
195262,AAA,2013J,50.0
569505,AAA,2014J,85.9
570317,AAA,2014J,75.4
574505,AAA,2014J,41.7
588477,AAA,2014J,75.0
593846,AAA,2014J,64.5
593987,AAA,2014J,72.5
596288,AAA,2014J,76.7
603834,AAA,2014J,61.4
623840,AAA,2014J,79.5
626240,AAA,2014J,56.3
628088,AAA,2014J,80.0
630142,AAA,2014J,83.33333333333333
637665,AAA,2014J,49.8
639053,AAA,2014J,65.9
642878,AAA,2014J,41.333333333333336
648130,AAA,2014J,53.5
676546,AAA,2014J,73.57142857142857
677186,AAA,2014J,57.3
684180,AAA,2014J,62.7
687698,AAA,2014J,54.3
696073,AAA,2014J,74.7
696578,AAA,2014J,77.0
852847,AAA,2014J,32.0
998493,AAA,2014J,67.6
1045203,AAA,2014J,79.4
1112555,AAA,2014J,66.6
1183831,AAA,2014J,70.4
1268696,AAA,2014J,61.2
1398979,AAA,2014J,72.28571428571429
1456619,AAA,2014J,63.0
1471214,AAA,2014J,71.4
1484804,AAA,2014J,66.8
1511033,AAA,2014J,75.3
1576513,AAA,2014J,86.9
1609002,AAA,2014J,79.8
1629771,AAA,2014J,79.5
1686551,AAA,2014J,80.0
1689639,AAA,2014J,73.0
1715896,AAA,2014J,77.8
1721270,AAA,2014J,57.5
1757766,AAA,2014J,70.9
1773377,AAA,2014J,74.4
1799111,AAA,2014J,77.6
1818673,AAA,2014J,86.0
1839386,AAA,2014J,40.0
1926668,AAA,2014J,61.4
1947156,AAA,2014J,77.7
1967783,AAA,2014J,64.2
1975209,AAA,2014J,65.2
2010232,AAA,2014J,83.8
2045084,AAA,2014J,72.0
2057803,AAA,2014J,63.5
2085209,AAA,2014J,87.5
2086400,AAA,2014J,70.1
2148681,AAA,2014J,72.5
2158048,AAA,2014J,86.0
2158196,AAA,2014J,57.333333333333336
2165164,AAA,2014J,62.2
2168833,AAA,2014J,24.0
2207874,AAA,2014J,52.4
2240349,AAA,2014J,77.2
2244332,AAA,2014J,85.5
2273119,AAA,2014J,36.0
2277857,AAA,2014J,64.9
2297896,AAA,2014J,64.0
2318055,AAA,2014J,76.0
2330254,AAA,2014J,70.9
2355470,AAA,2014J,53.2
2363863,AAA,2014J,80.8
2369415,AAA,2014J,79.0
2375975,AAA,2014J,71.7
2397661,AAA,2014J,49.9
2398313,AAA,2014J,71.2
2404408,AAA,2014J,47.333333333333336
2425993,AAA,2014J,68.0
2432796,AAA,2014J,63.4
2434159,AAA,2014J,51.9
2467267,AAA,2014J,71.7
2473538,AAA,2014J,54.5
2474849,AAA,2014J,35.0
2494700,AAA,2014J,84.1
2500258,AAA,2014J,72.9
2507842,AAA,2014J,79.0
2509639,AAA,2014J,67.0
2514368,AAA,2014J,82.9
2514898,AAA,2014J,67.6
2521865,AAA,2014J,61.7
2522927,AAA,2014J,66.8
2540168,AAA,2014J,43.2
2546445,AAA,2014J,73.0
2551797,AAA,2014J,64.2
2551932,AAA,2014J,46.666666666666664
2569324,AAA,2014J,72.6
2574990,AAA,2014J,56.7
2578676,AAA,2014J,71.0
2581477,AAA,2014J,47.8
2584873,AAA,2014J,62.8
2595841,AAA,2014J,55.4
2596621,AAA,2014J,73.0
2596621,FFF,2013J,87.79439252336448
2601889,AAA,2014J,80.9
2602338,AAA,2014J,72.66666666666667
2624961,AAA,2014J,62.2
2633226,AAA,2014J,54.1
2642616,AAA,2014J,57.1
2642935,AAA,2014J,83.7
2648611,AAA,2014J,78.2
2649800,AAA,2014J,66.0
2654628,AAA,2014J,72.1
2677624,AAA,2014J,70.5
2680312,AAA,2014J,79.7
2688166,AAA,2014J,56.75
2690062,AAA,2014J,58.0
2692514,AAA,2014J,78.1
2694788,AAA,2014J,32.2
6516,AAA,2014J,63.5
24734,AAA,2014J,47.5
26192,AAA,2014J,86.3
28061,AAA,2014J,77.4
31600,AAA,2014J,55.5
46844,AAA,2014J,66.5
52765,AAA,2014J,61.5
55104,AAA,2014J,71.3
58071,AAA,2014J,74.9
58316,AAA,2014J,72.9
62487,AAA,2014J,70.6
63165,AAA,2014J,52.1
70011,AAA,2014J,81.3
75255,AAA,2014J,83.0
79403,AAA,2014J,58.4
85092,AAA,2014J,58.0
85144,AAA,2014J,78.8
85302,AAA,2014J,71.0
87431,AAA,2014J,50.0
95755,AAA,2014J,40.666666666666664
101116,AAA,2014J,82.9
107489,AAA,2014J,80.5
108872,AAA,2014J,60.9
109155,AAA,2014J,67.2
117818,AAA,2014J,56.5
119902,AAA,2014J,65.85714285714286
121349,AAA,2014J,77.3
124064,AAA,2014J,87.6
125018,AAA,2014J,64.3
130034,AAA,2014J,77.6
130547,AAA,2014J,58.0
130636,AAA,2014J,59.7
131390,AAA,2014J,78.7
133816,AAA,2014J,66.0
133922,AAA,2014J,77.9
135471,AAA,2014J,84.2
139033,AAA,2014J,61.7
141506,AAA,2014J,75.0
146503,AAA,2014J,61.9
149741,AAA,2014J,67.2
149962,AAA,2014J,68.9
151587,AAA,2014J,65.8
152668,AAA,2014J,71.0
158707,AAA,2014J,73.8
164944,AAA,2014J,62.7
165226,AAA,2014J,77.0
167961,AAA,2014J,76.3
174024,AAA,2014J,61.3
174094,AAA,2014J,76.0
174745,AAA,2014J,66.1
175447,AAA,2014J,70.0
175772,AAA,2014J,85.0
183057,AAA,2014J,66.4
185350,AAA,2014J,57.5
199636,AAA,2014J,73.8
199897,AAA,2014J,69.6
200804,AAA,2014J,64.1
205494,AAA,2014J,64.0
228021,AAA,2014J,82.2
228383,AAA,2014J,70.1
232307,AAA,2014J,64.9
235068,AAA,2014J,59.6
236875,AAA,2014J,46.7
237274,AAA,2014J,72.2
243510,AAA,2014J,42.5
244246,AAA,2014J,67.8
248581,AAA,2014J,85.0
252073,AAA,2014J,47.0
254625,AAA,2014J,82.4
258587,AAA,2014J,81.1
260623,AAA,2014J,69.5
263251,AAA,2014J,74.0
263543,AAA,2014J,78.8
263952,AAA,2014J,89.9
266524,AAA,2014J,54.9
273346,AAA,2014J,82.1
274947,AAA,2014J,49.9
275674,AAA,2014J,44.0
275792,AAA,2014J,73.6
277123,AAA,2014J,44.2
281077,AAA,2014J,72.6
281636,AAA,2014J,83.1
285315,AAA,2014J,86.3
287040,AAA,2014J,73.1
287204,AAA,2014J,74.4
287210,AAA,2014J,72.9
289449,AAA,2014J,74.8
290164,AAA,2014J,65.0
292525,AAA,2014J,84.6
292775,AAA,2014J,82.8
293824,AAA,2014J,58.7
294496,AAA,2014J,80.0
294655,AAA,2014J,77.9
295060,AAA,2014J,67.7
295075,AAA,2014J,63.7
296424,AAA,2014J,78.9
298034,AAA,2014J,72.4
298838,AAA,2014J,80.4
301967,AAA,2014J,53.5
302476,AAA,2014J,85.7
303521,AAA,2014J,80.6
303985,AAA,2014J,76.9
304465,AAA,2014J,75.1
306646,AAA,2014J,52.7
309142,AAA,2014J,65.8
310412,AAA,2014J,77.1
311235,AAA,2014J,64.9
313937,AAA,2014J,81.4
315076,AAA,2014J,67.3
315744,AAA,2014J,82.9
323370,AAA,2014J,71.3
328024,AAA,2014J,50.9
329659,AAA,2014J,47.8
330594,AAA,2014J,58.8
332884,AAA,2014J,81.9
334441,AAA,2014J,40.2
335247,AAA,2014J,71.3
337748,AAA,2014J,44.0
338407,AAA,2014J,72.0
341876,AAA,2014J,68.66666666666667
345440,AAA,2014J,73.0
345519,AAA,2014J,76.7
346118,AAA,2014J,72.1
348275,AAA,2014J,54.333333333333336
348807,AAA,2014J,75.7
350156,AAA,2014J,51.3
350939,AAA,2014J,69.4
351336,AAA,2014J,66.5
353665,AAA,2014J,63.9
354170,AAA,2014J,56.2
356170,AAA,2014J,73.25
358182,AAA,2014J,74.3
364957,AAA,2014J,61.1
369834,AAA,2014J,73.6
371710,AAA,2014J,80.2
373872,AAA,2014J,65.0
375260,AAA,2014J,69.6
375646,AAA,2014J,75.2
377546,AAA,2014J,83.4
381642,AAA,2014J,79.6
382095,AAA,2014J,77.0
383180,AAA,2014J,69.8
383600,AAA,2014J,78.8
383723,AAA,2014J,80.3
384203,AAA,2014J,76.3
384725,AAA,2014J,80.5
387533,AAA,2014J,50.666666666666664
388147,AAA,2014J,39.666666666666664
391249,AAA,2014J,81.6
396599,AAA,2014J,53.42857142857143
396655,AAA,2014J,42.3
398171,AAA,2014J,69.3
398349,AAA,2014J,78.6
400147,AAA,2014J,60.0
400682,AAA,2014J,52.1
401404,AAA,2014J,76.7
402204,AAA,2014J,72.0
402727,AAA,2014J,74.0
402961,AAA,2014J,67.9
404356,AAA,2014J,75.3
406671,AAA,2014J,77.7
406682,AAA,2014J,83.8
409100,AAA,2014J,79.1
409703,AAA,2014J,64.1
410092,AAA,2014J,66.7
411971,AAA,2014J,72.7
418731,AAA,2014J,39.5
421455,AAA,2014J,77.2
11391,AAA,2013J,82.4
28400,AAA,2013J,65.4
31604,AAA,2013J,76.3
32885,AAA,2013J,55.0
38053,AAA,2013J,66.9
45462,AAA,2013J,67.8
45642,AAA,2013J,72.5
52130,AAA,2013J,71.2
53025,AAA,2013J,79.0
57506,AAA,2013J,74.0
58873,AAA,2013J,73.7
59185,AAA,2013J,80.8
62155,AAA,2013J,76.4
63400,AAA,2013J,71.2
65002,AAA,2013J,67.33333333333333
65002,AAA,2014J,67.33333333333333
70464,AAA,2013J,53.5
71361,AAA,2013J,79.7
74372,AAA,2013J,46.857142857142854
75091,AAA,2013J,65.8
77367,AAA,2013J,69.5
11391,AAA,2013J,82.4
28400,AAA,2013J,65.4
31604,AAA,2013J,76.3
32885,AAA,2013J,55.0
38053,AAA,2013J,66.9
45462,AAA,2013J,67.8
45642,AAA,2013J,72.5
52130,AAA,2013J,71.2
53025,AAA,2013J,79.0
57506,AAA,2013J,74.0
58873,AAA,2013J,73.7
11391,AAA,2013J,82.4
28400,AAA,2013J,65.4
31604,AAA,2013J,76.3
32885,AAA,2013J,55.0
38053,AAA,2013J,66.9
45462,AAA,2013J,67.8
45642,AAA,2013J,72.5
52130,AAA,2013J,71.2
53025,AAA,2013J,79.0
11391,AAA,2013J,82.4
28400,AAA,2013J,65.4
31604,AAA,2013J,76.3
32885,AAA,2013J,55.0
38053,AAA,2013J,66.9
45462,AAA,2013J,67.8
45642,AAA,2013J,72.5
52130,AAA,2013J,71.2
53025,AAA,2013J,79.0
57506,AAA,2013J,74.0
58873,AAA,2013J,73.7
59185,AAA,2013J,80.8
62155,AAA,2013J,76.4
63400,AAA,2013J,71.2
65002,AAA,2013J,67.33333333333333
65002,AAA,2014J,67.33333333333333
70464,AAA,2013J,53.5
71361,AAA,2013J,79.7
74372,AAA,2013J,46.857142857142854
75091,AAA,2013J,65.8
77367,AAA,2013J,69.5
91265,AAA,2013J,69.0
94961,AAA,2013J,74.0
94961,AAA,2014J,61.7
98094,AAA,2013J,60.6
100893,AAA,2013J,68.7
101781,AAA,2013J,71.6
102806,AAA,2013J,76.0
102952,AAA,2013J,77.1
104476,AAA,2013J,78.9
106247,AAA,2013J,58.6
106577,AAA,2013J,54.2
110175,AAA,2013J,63.7
111717,AAA,2013J,81.5
113295,AAA,2013J,77.3
114017,AAA,2013J,72.3
114999,AAA,2013J,70.8
116541,AAA,2013J,59.8
116692,AAA,2013J,74.2
118983,AAA,2013J,59.0
123044,AAA,2013J,70.7
127582,AAA,2013J,69.4
129955,AAA,2013J,80.2
129955,AAA,2014J,80.2
132976,AAA,2013J,67.3
134143,AAA,2013J,83.8
135400,AAA,2013J,58.0
135400,AAA,2014J,48.4
137873,AAA,2013J,81.7
141355,AAA,2013J,72.0
141377,AAA,2013J,45.0
141377,AAA,2014J,47.0
142326,AAA,2013J,75.3
144801,AAA,2013J,70.6
145130,AAA,2013J,53.2
146188,AAA,2013J,48.8
147756,AAA,2013J,73.28571428571429
147756,AAA,2014J,64.5
147793,AAA,2013J,52.0
148993,AAA,2013J,72.8
148993,AAA,2014J,84.0
151358,AAA,2013J,49.6
155550,AAA,2013J,66.0
155854,AAA,2013J,79.4
155984,AAA,2013J,78.33333333333333
155984,AAA,2014J,79.0
157568,AAA,2013J,68.6
159954,AAA,2013J,67.0
159954,AAA,2014J,70.2
164259,AAA,2013J,70.4
167906,AAA,2013J,70.9
168936,AAA,2013J,64.9
172112,AAA,2013J,71.1
172797,AAA,2013J,61.4
174782,AAA,2013J,80.1
175392,AAA,2013J,81.7
175932,AAA,2013J,78.8
175991,AAA,2013J,36.0
11391,AAA,2013J,82.4
28400,AAA,2013J,65.4
31604,AAA,2013J,76.3
32885,AAA,2013J,55.0
38053,AAA,2013J,66.9
45462,AAA,2013J,67.8
45642,AAA,2013J,72.5
52130,AAA,2013J,71.2
53025,AAA,2013J,79.0
57506,AAA,2013J,74.0
58873,AAA,2013J,73.7
59185,AAA,2013J,80.8
62155,AAA,2013J,76.4
63400,AAA,2013J,71.2
65002,AAA,2013J,67.33333333333333
65002,AAA,2014J,67.33333333333333
70464,AAA,2013J,53.5
71361,AAA,2013J,79.7
74372,AAA,2013J,46.857142857142854
75091,AAA,2013J,65.8
77367,AAA,2013J,69.5
91265,AAA,2013J,69.0
94961,AAA,2013J,74.0
94961,AAA,2014J,61.7
98094,AAA,2013J,60.6
100893,AAA,2013J,68.7
101781,AAA,2013J,71.6
102806,AAA,2013J,76.0
102952,AAA,2013J,77.1
104476,AAA,2013J,78.9
106247,AAA,2013J,58.6
106577,AAA,2013J,54.2
110175,AAA,2013J,63.7
111717,AAA,2013J,81.5
113295,AAA,2013J,77.3
114017,AAA,2013J,72.3
114999,AAA,2013J,70.8
116541,AAA,2013J,59.8
116692,AAA,2013J,74.2
118983,AAA,2013J,59.0
123044,AAA,2013J,70.7
127582,AAA,2013J,69.4
129955,AAA,2013J,80.2
129955,AAA,2014J,80.2
132976,AAA,2013J,67.3
134143,AAA,2013J,83.8
135400,AAA,2013J,58.0
135400,AAA,2014J,48.4
137873,AAA,2013J,81.7
141355,AAA,2013J,72.0
141377,AAA,2013J,45.0
141377,AAA,2014J,47.0
142326,AAA,2013J,75.3
144801,AAA,2013J,70.6
145130,AAA,2013J,53.2
146188,AAA,2013J,48.8
147756,AAA,2013J,73.28571428571429
147756,AAA,2014J,64.5
147793,AAA,2013J,52.0
148993,AAA,2013J,72.8
148993,AAA,2014J,84.0
151358,AAA,2013J,49.6
155550,AAA,2013J,66.0
155854,AAA,2013J,79.4
155984,AAA,2013J,78.33333333333333
155984,AAA,2014J,79.0
157568,AAA,2013J,68.6
159954,AAA,2013J,67.0
159954,AAA,2014J,70.2
164259,AAA,2013J,70.4
167906,AAA,2013J,70.9
168936,AAA,2013J,64.9
172112,AAA,2013J,71.1
172797,AAA,2013J,61.4
174782,AAA,2013J,80.1
175392,AAA,2013J,81.7
175932,AAA,2013J,78.8
175991,AAA,2013J,36.0
180753,AAA,2013J,51.7
181316,AAA,2013J,76.0
183096,AAA,2013J,54.0
183947,AAA,2013J,46.6
184271,AAA,2013J,58.7
185439,AAA,2013J,74.0
186149,AAA,2013J,75.6
187100,AAA,2013J,89.4
188278,AAA,2013J,76.0
188278,AAA,2014J,69.6
189879,AAA,2013J,78.8
192183,AAA,2013J,66.7
200860,AAA,2013J,50.8
202635,AAA,2013J,66.4
205350,AAA,2013J,72.2
205719,AAA,2013J,54.6
227499,AAA,2013J,83.5
227517,AAA,2013J,61.7
228082,AAA,2013J,74.8
228222,AAA,2013J,60.7
229179,AAA,2013J,65.1
229361,AAA,2013J,77.5
231554,AAA,2013J,66.0
235507,AAA,2013J,65.0
235507,AAA,2014J,56.3
236284,AAA,2013J,75.5
